type_encoded,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,temp_diff_k,power_w,strain_min_nm,tool_wear_critical,machine_failure,twf,hdf,pwf,osf,rnf
0,300.6,309.6,1726,30.0,147,9.0,5422.39,4410.0,0,0,0,0,0,0,0
0,301.7,311.2,1589,37.9,75,9.5,6306.55,2842.5,0,0,0,0,0,0,0
0,296.8,307.5,1347,54.8,43,10.7,7729.95,2356.4,0,0,0,0,0,0,0
0,300.7,311.8,1486,47.3,19,11.1,7360.52,898.7,0,0,0,0,0,0,0
0,299.6,311.0,1430,38.3,124,11.4,5735.4,4749.2,0,0,0,0,0,0,0
0,297.1,308.3,1403,54.1,179,11.2,7948.47,9683.9,0,0,0,0,0,0,0
0,300.7,310.6,1520,45.9,146,9.9,7306.09,6701.4,0,0,0,0,0,0,0
1,298.9,308.2,1372,63.6,30,9.3,9137.76,1908.0,0,1,0,0,1,0,0
0,298.7,309.8,1354,53.3,212,11.1,7557.44,11299.6,1,1,0,0,0,1,0
0,299.7,309.1,1347,55.3,139,9.4,7800.48,7686.7,0,0,0,0,0,0,0
0,300.7,309.5,1508,39.9,59,8.8,6300.9,2354.1,0,0,0,0,0,0,0
1,303.0,312.8,1648,32.1,104,9.8,5539.76,3338.4,0,0,0,0,0,0,0
1,300.4,311.7,1832,24.2,179,11.3,4642.69,4331.8,0,0,0,0,0,0,0
1,302.0,311.1,1406,48.8,159,9.1,7185.12,7759.2,0,0,0,0,0,0,0
0,298.3,308.1,1326,58.4,90,9.8,8109.33,5256.0,0,0,0,0,0,0,0
0,298.9,310.3,1456,44.1,118,11.4,6724.01,5203.8,0,0,0,0,0,0,0
0,298.0,308.5,1702,26.7,203,10.5,4758.82,5420.1,1,0,0,0,0,0,0
0,302.6,311.4,1738,25.8,128,8.8,4695.68,3302.4,0,0,0,0,0,0,0
0,297.1,308.2,1347,50.8,49,11.1,7165.72,2489.2,0,0,0,0,0,0,0
0,303.8,312.7,1664,29.3,178,8.9,5105.63,5215.4,0,0,0,0,0,0,0
0,298.6,309.8,1637,34.6,207,11.2,5931.35,7162.2,1,0,0,0,0,0,0
0,301.6,311.1,1907,21.5,102,9.5,4293.56,2193.0,0,0,0,0,0,0,0
1,302.3,311.2,1505,36.7,78,8.9,5784.04,2862.6,0,0,0,0,0,0,0
1,298.2,309.0,1410,47.6,76,10.8,7028.37,3617.6,0,0,0,0,0,0,0
0,296.8,307.9,1709,28.4,118,11.1,5082.64,3351.2,0,0,0,0,0,0,0
1,297.2,308.3,1776,28.0,43,11.1,5207.5,1204.0,0,0,0,0,0,0,0
0,300.2,310.2,1600,31.5,23,10.0,5277.88,724.5,0,0,0,0,0,0,0
0,301.0,310.7,1391,45.0,123,9.7,6554.93,5535.0,0,0,0,0,0,0,0
2,298.7,309.3,1402,45.3,190,10.6,6650.81,8607.0,0,0,0,0,0,0,0
1,298.1,307.9,1496,40.0,0,9.8,6266.43,0.0,0,0,0,0,0,0,0
0,301.5,310.3,1415,41.6,28,8.8,6164.22,1164.8,0,0,0,0,0,0,0
0,301.1,311.1,1711,29.1,170,10.0,5214.01,4947.0,0,0,0,0,0,0,0
1,296.8,307.8,1664,32.8,142,11.0,5715.52,4657.6,0,0,0,0,0,0,0
0,298.2,308.4,1477,49.9,72,10.2,7718.09,3592.8,0,0,0,0,0,0,0
1,297.4,309.0,1520,37.0,147,11.6,5889.44,5439.0,0,0,0,0,0,0,0
1,298.9,308.9,1487,39.5,30,10.0,6150.87,1185.0,0,0,0,0,0,0,0
0,299.3,309.1,1551,39.1,147,9.8,6350.64,5747.7,0,0,0,0,0,0,0
0,298.3,308.2,1663,28.4,67,9.9,4945.83,1902.8,0,0,0,0,0,0,0
1,301.0,311.0,1423,38.6,199,10.0,5752.03,7681.4,0,0,0,0,0,0,0
0,301.5,311.1,1434,49.6,129,9.6,7448.34,6398.4,0,0,0,0,0,0,0
1,300.5,311.6,1476,39.1,199,11.1,6043.54,7780.9,0,0,0,0,0,0,0
0,300.6,310.0,1425,49.5,174,9.4,7386.67,8613.0,0,0,0,0,0,0,0
1,301.3,310.8,1455,41.2,56,9.5,6277.53,2307.2,0,0,0,0,0,0,0
1,297.2,308.4,1863,26.0,110,11.2,5072.42,2860.0,0,0,0,0,0,0,0
0,298.8,308.8,1523,44.4,55,10.0,7081.28,2442.0,0,0,0,0,0,0,0
0,300.4,310.0,1769,26.1,38,9.6,4835.01,991.8,0,0,0,0,0,0,0
0,301.6,311.1,1408,44.4,106,9.5,6546.58,4706.4,0,0,0,0,0,0,0
1,298.7,309.6,1424,50.4,32,10.9,7515.69,1612.8,0,0,0,0,0,0,0
0,301.5,310.7,1435,38.5,224,9.2,5785.5,8624.0,1,0,0,0,0,0,0
1,298.0,308.1,1552,36.6,190,10.1,5948.42,6954.0,0,0,0,0,0,0,0
1,302.2,311.6,1592,37.7,79,9.4,6285.11,2978.3,0,0,0,0,0,0,0
0,300.6,310.4,1494,47.3,118,9.8,7400.15,5581.4,0,0,0,0,0,0,0
1,297.5,309.4,1433,48.3,139,11.9,7248.06,6713.7,0,0,0,0,0,0,0
0,297.3,308.7,1491,40.2,112,11.4,6276.71,4502.4,0,0,0,0,0,0,0
0,300.1,311.5,2218,17.0,123,11.4,3948.56,2091.0,0,0,0,0,0,0,0
2,302.0,310.9,1679,29.0,222,8.9,5098.91,6438.0,1,0,0,0,0,0,0
0,299.2,308.4,1393,48.4,35,9.2,7060.33,1694.0,0,0,0,0,0,0,0
1,302.1,310.7,1364,47.8,213,8.6,6827.64,10181.4,1,1,0,1,0,0,0
1,300.0,309.2,1635,32.4,4,9.2,5547.42,129.6,0,0,0,0,0,0,0
0,301.4,310.8,1431,44.3,21,9.4,6638.53,930.3,0,0,0,0,0,0,0
0,300.8,310.3,1537,33.3,52,9.5,5359.78,1731.6,0,0,0,0,0,0,0
2,299.7,309.2,1572,32.8,142,9.5,5399.52,4657.6,0,0,0,0,0,0,0
1,296.8,307.9,1843,25.2,116,11.1,4863.56,2923.2,0,0,0,0,0,0,0
2,298.0,307.7,1547,36.8,186,9.7,5961.65,6844.8,0,0,0,0,0,0,0
0,301.0,310.9,1679,29.8,64,9.9,5239.57,1907.2,0,0,0,0,0,0,0
0,295.7,306.1,1343,54.4,119,10.4,7650.74,6473.6,0,0,0,0,0,0,0
1,299.3,310.7,1374,48.9,222,11.4,7035.97,10855.8,1,0,0,0,0,0,0
0,300.8,309.7,1373,45.4,179,8.9,6527.62,8126.6,0,0,0,0,0,0,0
0,298.6,309.7,1627,33.4,99,11.1,5690.66,3306.6,0,0,0,0,0,0,0
0,300.4,311.5,1492,44.6,149,11.1,6968.39,6645.4,0,0,0,0,0,0,0
0,300.4,310.5,2424,14.5,12,10.1,3680.69,174.0,0,0,0,0,0,0,0
0,301.3,310.5,1365,47.7,70,9.2,6818.36,3339.0,0,0,0,0,0,0,0
0,300.0,309.6,1694,28.7,94,9.6,5091.24,2697.8,0,0,0,0,0,0,0
0,301.4,310.3,2203,16.6,169,8.9,3829.58,2805.4,0,0,0,0,0,0,0
0,302.4,310.9,1469,39.6,86,8.5,6091.8,3405.6,0,0,0,0,0,0,0
1,297.3,308.6,1584,29.4,141,11.3,4876.76,4145.4,0,0,0,0,0,0,0
1,304.2,313.6,1424,43.7,151,9.4,6516.58,6598.7,0,0,0,0,0,0,0
0,298.9,310.0,1719,27.3,58,11.1,4914.36,1583.4,0,0,0,0,0,0,0
0,297.4,309.2,1620,33.2,28,11.8,5632.25,929.6,0,0,0,0,0,0,0
0,302.1,311.2,1454,46.8,0,9.1,7125.89,0.0,0,0,0,0,0,0,0
0,301.9,310.9,1486,40.3,6,9.0,6271.23,241.8,0,0,0,0,0,0,0
0,297.2,308.5,1550,41.5,125,11.3,6736.1,5187.5,0,0,0,0,0,0,0
1,298.0,308.9,1339,51.4,68,10.9,7207.3,3495.2,0,0,0,0,0,0,0
0,300.2,311.6,1999,21.0,19,11.4,4396.03,399.0,0,0,0,0,0,0,0
0,296.9,308.0,1546,31.1,11,11.1,5034.99,342.1,0,0,0,0,0,0,0
2,303.5,312.8,1404,55.8,84,9.3,8204.08,4687.2,0,0,0,0,0,0,0
0,297.2,308.5,1494,39.6,181,11.3,6195.47,7167.6,0,0,0,0,0,0,0
0,302.1,311.5,1987,20.1,21,9.4,4182.37,422.1,0,0,0,0,0,0,0
0,300.6,310.8,1378,51.2,119,10.2,7388.36,6092.8,0,0,0,0,0,0,0
0,302.6,312.4,1398,41.6,40,9.8,6090.17,1664.0,0,0,0,0,0,0,0
2,298.7,309.7,1697,29.8,74,11.0,5295.74,2205.2,0,0,0,0,0,0,0
0,296.7,308.0,1451,50.7,197,11.3,7703.78,9987.9,0,0,0,0,0,0,0
1,300.5,311.9,1370,44.8,20,11.4,6427.28,896.0,0,0,0,0,0,0,0
0,301.3,311.1,1560,35.3,55,9.8,5766.71,1941.5,0,0,0,0,0,0,0
1,300.9,311.0,1567,34.3,130,10.1,5628.49,4459.0,0,0,0,0,0,0,0
0,303.7,312.7,1395,53.9,123,9.0,7873.93,6629.7,0,0,0,0,0,0,0
2,301.0,310.9,1495,37.3,21,9.9,5839.54,783.3,0,0,0,0,0,0,0
1,303.6,312.7,2174,17.6,37,9.1,4006.83,651.2,0,0,0,0,0,0,0
1,297.5,309.1,1540,38.5,176,11.6,6208.83,6776.0,0,0,0,0,0,0,0
1,297.6,308.4,1569,38.3,93,10.8,6292.89,3561.9,0,0,0,0,0,0,0
0,302.3,311.7,2170,18.2,91,9.4,4135.8,1656.2,0,0,0,0,0,0,0
0,298.0,308.5,1713,25.3,124,10.5,4538.44,3137.2,0,0,0,0,0,0,0
0,302.7,312.4,1477,46.3,251,9.7,7161.27,11621.3,1,1,0,0,0,1,0
2,297.1,308.0,1559,38.8,229,10.9,6334.41,8885.2,1,0,0,0,0,0,0
0,300.3,309.2,1649,32.4,50,8.9,5594.93,1620.0,0,0,0,0,0,0,0
0,300.2,309.7,1448,36.8,14,9.5,5580.14,515.2,0,0,0,0,0,0,0
0,298.3,309.4,1356,45.4,96,11.1,6446.8,4358.4,0,0,0,0,0,0,0
0,301.8,310.7,1597,30.8,74,8.9,5150.91,2279.2,0,0,0,0,0,0,0
0,299.0,310.2,1516,35.3,102,11.2,5604.06,3600.6,0,0,0,0,0,0,0
1,302.2,311.3,1510,37.1,10,9.1,5866.51,371.0,0,0,0,0,0,0,0
1,299.2,308.4,1330,51.2,56,9.2,7131.0,2867.2,0,0,0,0,0,0,0
1,300.2,309.5,1500,45.7,89,9.3,7178.54,4067.3,0,0,0,0,0,0,0
0,301.6,310.7,1683,29.7,131,9.1,5234.43,3890.7,0,0,0,0,0,0,0
0,299.9,310.4,1419,45.7,178,10.5,6790.9,8134.6,0,0,0,0,0,0,0
0,298.6,309.0,1469,46.0,4,10.4,7076.33,184.0,0,0,0,0,0,0,0
0,300.9,311.0,2235,15.8,156,10.1,3697.97,2464.8,0,0,0,0,0,0,0
0,301.9,310.8,1400,58.2,79,8.9,8532.57,4597.8,0,0,0,0,0,0,0
1,298.2,308.3,1448,43.3,199,10.1,6565.76,8616.7,0,0,0,0,0,0,0
0,298.2,308.9,1367,45.0,85,10.7,6441.84,3825.0,0,0,0,0,0,0,0
1,298.6,309.1,1587,37.3,203,10.5,6198.9,7571.9,1,0,0,0,0,0,0
0,300.5,309.9,1480,40.0,148,9.4,6199.41,5920.0,0,0,0,0,0,0,0
0,300.8,310.2,1850,22.8,33,9.4,4417.08,752.4,0,0,0,0,0,0,0
0,298.1,308.6,1558,42.4,14,10.5,6917.7,593.6,0,0,0,0,0,0,0
0,297.1,308.1,1446,36.6,227,11.0,5542.15,8308.2,1,0,0,0,0,0,0
2,302.3,311.8,1475,42.8,38,9.5,6610.96,1626.4,0,0,0,0,0,0,0
0,301.1,310.6,1611,35.2,70,9.5,5938.36,2464.0,0,0,0,0,0,0,0
0,300.4,310.5,1578,32.8,26,10.1,5420.13,852.8,0,0,0,0,0,0,0
1,297.3,308.5,1710,27.7,138,11.2,4960.26,3822.6,0,0,0,0,0,0,0
0,302.5,310.5,1520,41.2,154,8.0,6557.97,6344.8,0,0,0,0,0,0,0
1,302.2,310.7,1601,33.0,166,8.5,5532.66,5478.0,0,0,0,0,0,0,0
0,297.2,308.6,1636,31.3,192,11.4,5362.36,6009.6,0,0,0,0,0,0,0
0,297.1,307.8,1636,30.3,90,10.7,5191.04,2727.0,0,0,0,0,0,0,0
1,296.2,307.2,1552,34.8,8,11.0,5655.87,278.4,0,0,0,0,0,0,0
0,300.3,311.4,1318,52.7,13,11.1,7273.69,685.1,0,0,0,0,0,0,0
0,299.8,309.2,1400,42.6,210,9.4,6245.49,8946.0,1,0,0,0,0,0,0
2,298.6,309.5,1420,50.4,82,10.9,7494.58,4132.8,0,0,0,0,0,0,0
0,301.9,310.8,1906,21.7,62,8.9,4331.23,1345.4,0,0,0,0,0,0,0
0,302.1,310.8,1565,35.3,6,8.7,5785.19,211.8,0,0,0,0,0,0,0
0,302.4,311.1,1905,20.9,77,8.7,4169.36,1609.3,0,0,0,0,0,0,0
1,298.6,309.8,1419,44.9,115,11.2,6672.02,5163.5,0,0,0,0,0,0,0
0,296.9,307.8,1285,52.1,100,10.9,7010.83,5210.0,0,0,0,0,0,0,0
0,298.3,308.5,1664,31.6,144,10.2,5506.42,4550.4,0,0,0,0,0,0,0
0,296.8,307.9,1337,56.5,5,11.1,7910.58,282.5,0,0,0,0,0,0,0
2,302.2,311.2,1692,28.2,122,9.0,4996.64,3440.4,0,0,0,0,0,0,0
0,298.7,309.9,1404,47.1,64,11.2,6924.95,3014.4,0,0,0,0,0,0,0
0,298.2,307.6,1511,31.0,209,9.4,4905.18,6479.0,1,1,1,0,0,0,0
0,300.5,309.7,1580,42.8,196,9.2,7081.57,8388.8,0,0,0,0,0,0,0
0,302.8,310.6,1404,43.2,203,7.8,6351.55,8769.6,1,0,0,0,0,0,0
1,302.0,310.8,1609,35.2,4,8.8,5930.99,140.8,0,0,0,0,0,0,0
0,299.2,308.5,1457,44.7,195,9.3,6820.18,8716.5,0,0,0,0,0,0,0
1,299.2,308.5,1742,28.9,150,9.3,5271.99,4335.0,0,0,0,0,0,0,0
2,302.9,311.0,1469,48.7,130,8.1,7491.68,6331.0,0,0,0,0,0,0,0
0,297.8,308.5,1448,40.0,192,10.7,6065.37,7680.0,0,0,0,0,0,0,0
0,297.2,308.6,1335,53.0,39,11.4,7409.45,2067.0,0,0,0,0,0,0,0
2,297.5,308.6,1536,38.7,7,11.1,6224.88,270.9,0,0,0,0,0,0,0
1,303.6,312.5,1607,33.7,14,8.9,5671.19,471.8,0,0,0,0,0,0,0
0,296.8,307.9,1698,30.8,48,11.1,5476.68,1478.4,0,0,0,0,0,0,0
2,301.2,309.8,1709,27.0,151,8.6,4832.08,4077.0,0,0,0,0,0,0,0
0,300.8,312.4,1365,44.5,129,11.6,6360.94,5740.5,0,0,0,0,0,0,0
0,299.7,309.6,1553,36.8,174,9.9,5984.78,6403.2,0,0,0,0,0,0,0
1,298.1,307.4,1335,56.2,190,9.3,7856.81,10678.0,0,0,0,0,0,0,0
0,297.2,307.9,1540,37.1,164,10.7,5983.06,6084.4,0,0,0,0,0,0,0
1,300.3,310.4,1293,49.7,37,10.1,6729.51,1838.9,0,0,0,0,0,0,0
2,298.3,309.0,1470,38.4,10,10.7,5911.22,384.0,0,0,0,0,0,0,0
0,300.1,309.4,1453,47.6,28,9.3,7242.71,1332.8,0,0,0,0,0,0,0
1,299.9,309.1,1345,56.8,10,9.2,8000.17,568.0,0,0,0,0,0,0,0
0,301.3,311.0,1539,36.9,206,9.7,5946.94,7601.4,1,0,0,0,0,0,0
0,299.4,308.6,1492,40.5,181,9.2,6327.8,7330.5,0,0,0,0,0,0,0
0,298.4,309.3,1395,47.6,24,10.9,6953.6,1142.4,0,0,0,0,0,0,0
0,302.3,311.5,1387,47.3,2,9.2,6870.15,94.6,0,0,0,0,0,0,0
0,300.9,310.9,1497,43.2,62,10.0,6772.27,2678.4,0,0,0,0,0,0,0
0,298.8,308.5,1736,29.0,31,9.7,5272.01,899.0,0,0,0,0,0,0,0
0,297.8,307.6,1607,30.3,62,9.8,5099.02,1878.6,0,0,0,0,0,0,0
1,300.0,309.5,1879,22.4,79,9.5,4407.61,1769.6,0,0,0,0,0,0,0
0,297.5,308.9,1738,24.0,195,11.4,4368.07,4680.0,0,0,0,0,0,0,0
2,297.6,308.8,1385,44.4,181,11.2,6439.64,8036.4,0,0,0,0,0,0,0
1,302.2,311.1,1516,33.7,158,8.9,5350.05,5324.6,0,0,0,0,0,0,0
0,303.8,313.0,1633,32.9,207,9.2,5626.14,6810.3,1,0,0,0,0,0,0
0,300.6,310.7,1397,53.7,80,10.1,7855.96,4296.0,0,0,0,0,0,0,0
0,297.3,308.3,1268,60.6,119,11.0,8046.75,7211.4,0,0,0,0,0,0,0
0,297.6,308.6,1529,45.3,15,11.0,7253.28,679.5,0,0,0,0,0,0,0
1,300.2,311.0,2370,14.7,144,10.8,3648.33,2116.8,0,0,0,0,0,0,0
0,302.4,310.1,1645,31.6,93,7.7,5443.54,2938.8,0,0,0,0,0,0,0
0,303.7,312.4,1702,31.2,144,8.7,5560.87,4492.8,0,0,0,0,0,0,0
1,299.8,309.3,1640,31.1,211,9.5,5341.13,6562.1,1,0,0,0,0,0,0
0,299.7,311.1,1574,36.4,135,11.4,5999.77,4914.0,0,0,0,0,0,0,0
0,297.5,309.4,1650,34.6,142,11.9,5978.45,4913.2,0,0,0,0,0,0,0
1,301.5,310.0,1417,44.6,49,8.5,6618.1,2185.4,0,0,0,0,0,0,0
1,298.1,308.1,1456,43.7,80,10.0,6663.02,3496.0,0,0,0,0,0,0,0
0,299.5,310.1,1585,35.2,50,10.6,5842.52,1760.0,0,0,0,0,0,0,0
0,301.0,310.6,1493,37.8,206,9.6,5909.9,7786.8,1,1,1,0,0,0,0
1,301.7,310.7,1659,29.9,73,9.0,5194.53,2182.7,0,0,0,0,0,0,0
0,297.3,308.4,1469,46.7,65,11.1,7184.02,3035.5,0,0,0,0,0,0,0
1,302.2,310.1,1421,45.4,9,7.9,6755.83,408.6,0,0,0,0,0,0,0
1,303.6,312.8,1689,33.1,16,9.2,5854.45,529.6,0,0,0,0,0,0,0
2,298.5,309.6,1579,33.5,91,11.1,5539.31,3048.5,0,0,0,0,0,0,0
0,300.6,310.2,1318,51.0,8,9.6,7039.05,408.0,0,0,0,0,0,0,0
1,302.1,310.6,1517,38.9,2,8.5,6179.65,77.8,0,0,0,0,0,0,0
0,297.1,308.2,2267,15.7,181,11.1,3727.18,2841.7,0,0,0,0,0,0,0
0,299.4,308.6,1415,56.4,175,9.2,8357.26,9870.0,0,0,0,0,0,0,0
0,301.0,310.7,1300,57.2,174,9.7,7786.96,9952.8,0,0,0,0,0,0,0
2,297.9,308.5,1383,44.6,184,10.6,6459.3,8206.4,0,0,0,0,0,0,0
0,301.9,310.8,1427,47.7,92,8.9,7128.05,4388.4,0,0,0,0,0,0,0
0,299.4,309.3,1391,46.6,185,9.9,6788.0,8621.0,0,0,0,0,0,0,0
2,299.3,310.4,1510,45.5,27,11.1,7194.77,1228.5,0,0,0,0,0,0,0
0,300.0,311.5,1445,41.6,81,11.5,6294.91,3369.6,0,0,0,0,0,0,0
0,298.2,309.1,1568,36.3,166,10.9,5960.48,6025.8,0,0,0,0,0,0,0
2,300.9,311.9,2140,16.5,43,11.0,3697.65,709.5,0,0,0,0,0,0,0
0,299.6,310.9,1472,40.9,137,11.3,6304.63,5603.3,0,0,0,0,0,0,0
1,298.5,309.6,1502,39.4,84,11.1,6197.19,3309.6,0,0,0,0,0,0,0
0,300.6,310.0,1455,40.4,172,9.4,6155.64,6948.8,0,0,0,0,0,0,0
0,299.1,310.6,1577,37.1,44,11.5,6126.81,1632.4,0,0,0,0,0,0,0
0,302.5,310.3,1688,31.6,66,7.8,5585.84,2085.6,0,0,0,0,0,0,0
0,298.9,310.0,1378,49.3,18,11.1,7114.18,887.4,0,0,0,0,0,0,0
1,298.5,309.3,1761,27.2,49,10.8,5015.99,1332.8,0,0,0,0,0,0,0
0,297.5,308.2,1489,40.7,141,10.7,6346.26,5738.7,0,0,0,0,0,0,0
1,297.7,309.0,1531,42.4,38,11.3,6797.82,1611.2,0,0,0,0,0,0,0
2,297.4,308.2,1359,46.9,199,10.8,6674.53,9333.1,0,0,0,0,0,0,0
0,301.7,310.6,1660,28.7,66,8.9,4989.06,1894.2,0,0,0,0,0,0,0
0,301.0,311.9,1889,23.5,198,10.9,4648.67,4653.0,0,0,0,0,0,0,0
0,302.3,310.1,1353,50.9,36,7.8,7211.81,1832.4,0,1,0,1,0,0,0
0,298.3,309.1,1616,31.1,195,10.8,5262.96,6064.5,0,0,0,0,0,0,0
1,299.2,309.1,1503,34.7,6,9.9,5461.56,208.2,0,0,0,0,0,0,0
1,297.5,308.0,1560,39.0,141,10.5,6371.15,5499.0,0,0,0,0,0,0,0
0,299.6,309.2,1422,39.8,219,9.6,5926.68,8716.2,1,0,0,0,0,0,0
1,300.5,311.4,1743,27.6,46,10.9,5037.73,1269.6,0,0,0,0,0,0,0
1,297.2,307.9,1632,37.5,156,10.7,6408.85,5850.0,0,0,0,0,0,0,0
0,300.1,309.3,1340,56.0,130,9.2,7858.17,7280.0,0,0,0,0,0,0,0
1,298.0,308.5,1682,33.0,58,10.5,5812.57,1914.0,0,0,0,0,0,0,0
2,297.6,309.6,1419,48.2,215,12.0,7162.39,10363.0,1,0,0,0,0,0,0
0,300.7,310.9,1650,29.4,102,10.2,5079.96,2998.8,0,0,0,0,0,0,0
0,300.8,311.9,1498,39.3,23,11.1,6165.0,903.9,0,0,0,0,0,0,0
0,303.0,311.2,1382,50.5,203,8.2,7308.5,10251.5,1,0,0,0,0,0,0
1,301.9,310.7,1511,37.6,70,8.8,5949.51,2632.0,0,0,0,0,0,0,0
2,297.9,307.7,1464,43.2,97,9.8,6622.98,4190.4,0,0,0,0,0,0,0
1,301.4,310.6,1459,46.9,27,9.2,7165.67,1266.3,0,0,0,0,0,0,0
0,298.4,308.3,1422,42.7,186,9.9,6358.52,7942.2,0,0,0,0,0,0,0
1,300.0,309.3,1413,40.7,117,9.3,6022.34,4761.9,0,0,0,0,0,0,0
1,300.5,309.5,1320,49.9,59,9.0,6897.68,2944.1,0,0,0,0,0,0,0
1,300.3,311.3,1377,53.8,125,11.0,7757.91,6725.0,0,0,0,0,0,0,0
0,300.6,310.0,1438,53.8,103,9.4,8101.58,5541.4,0,0,0,0,0,0,0
0,297.9,307.8,1499,37.5,78,9.9,5886.56,2925.0,0,0,0,0,0,0,0
0,298.8,309.6,1442,50.0,104,10.8,7550.29,5200.0,0,0,0,0,0,0,0
0,295.6,306.0,1569,40.4,174,10.4,6637.93,7029.6,0,0,0,0,0,0,0
1,297.7,309.2,1732,28.8,152,11.5,5223.59,4377.6,0,0,0,0,0,0,0
0,300.3,311.5,1695,25.6,43,11.2,4544.0,1100.8,0,0,0,0,0,0,0
1,300.2,311.6,1510,47.5,146,11.4,7511.02,6935.0,0,0,0,0,0,0,0
0,298.8,310.0,1412,46.3,107,11.2,6846.12,4954.1,0,0,0,0,0,0,0
0,298.6,309.4,1315,55.5,28,10.8,7642.71,1554.0,0,0,0,0,0,0,0
1,297.7,307.3,1365,49.2,36,9.6,7032.77,1771.2,0,0,0,0,0,0,0
0,297.4,308.2,1639,33.8,39,10.8,5801.29,1318.2,0,0,0,0,0,0,0
1,302.5,311.5,1481,41.1,215,9.0,6374.2,8836.5,1,0,0,0,0,0,0
0,300.0,309.6,1452,46.0,51,9.6,6994.44,2346.0,0,0,0,0,0,0,0
1,296.6,307.5,1734,27.0,50,10.9,4902.77,1350.0,0,0,0,0,0,0,0
1,302.6,312.3,1454,54.8,253,9.7,8343.99,13864.4,1,1,1,0,0,1,0
0,298.2,308.8,1302,60.4,34,10.6,8235.25,2053.6,0,0,0,0,0,0,0
0,295.8,306.5,1568,35.1,111,10.7,5763.44,3896.1,0,0,0,0,0,0,0
0,297.4,308.4,1369,50.6,220,11.0,7254.08,11132.0,1,1,0,0,0,1,0
2,301.2,310.6,1352,52.0,69,9.4,7362.22,3588.0,0,0,0,0,0,0,0
0,300.8,311.8,1928,21.8,209,11.0,4401.41,4556.2,1,0,0,0,0,0,0
1,300.8,310.7,1924,22.4,36,9.9,4513.17,806.4,0,0,0,0,0,0,0
2,301.7,310.2,1620,30.8,42,8.5,5225.1,1293.6,0,0,0,0,0,0,0
0,302.0,311.0,1420,45.9,144,9.0,6825.42,6609.6,0,0,0,0,0,0,0
0,300.4,311.7,1513,40.0,51,11.3,6337.64,2040.0,0,0,0,0,0,0,0
2,300.6,311.7,1535,33.3,92,11.1,5352.8,3063.6,0,0,0,0,0,0,0
1,297.2,308.3,1326,57.2,100,11.1,7942.7,5720.0,0,0,0,0,0,0,0
0,299.0,308.5,1559,38.1,194,9.5,6220.13,7391.4,0,0,0,0,0,0,0
